Lower Threshold;Upper Threshold;Accuracy Rate;Number of Questions
0;2000;0.9741379310344828;317
0;1900;0.9741379310344828;316
0;1800;0.9741379310344828;316
0;1700;0.9741379310344828;316
0;1600;0.9741379310344828;314
0;1500;0.9741379310344828;313
0;1400;0.9741379310344828;313
0;1300;0.9741379310344828;313
0;1200;0.9741379310344828;312
0;1100;0.9729064039408867;311
0;1000;0.9729064039408867;311
0;900;0.9729064039408867;311
0;800;0.9729064039408867;309
0;700;0.9729064039408867;309
0;600;0.9729064039408867;306
0;500;0.9729064039408867;304
0;400;0.9729064039408867;303
0;300;0.9729064039408867;297
0;200;0.9692118226600985;283
0;100;0.9655172413793104;263
