Lower Threshold;Upper Threshold;Accuracy Rate;Number of Questions
0;500;0.9729064039408867;304
0;490;0.9729064039408867;304
0;480;0.9729064039408867;303
0;470;0.9729064039408867;303
0;460;0.9729064039408867;303
0;450;0.9729064039408867;303
0;440;0.9729064039408867;303
0;430;0.9729064039408867;303
0;420;0.9729064039408867;303
0;410;0.9729064039408867;303
0;400;0.9729064039408867;303
0;390;0.9729064039408867;303
0;380;0.9729064039408867;303
0;370;0.9729064039408867;303
0;360;0.9729064039408867;302
0;350;0.9729064039408867;301
0;340;0.9729064039408867;299
0;330;0.9729064039408867;299
0;320;0.9729064039408867;298
0;310;0.9729064039408867;297
0;300;0.9729064039408867;297
0;290;0.9729064039408867;297
0;280;0.9716748768472906;294
0;270;0.9716748768472906;293
0;260;0.9716748768472906;292
0;250;0.9716748768472906;292
0;240;0.9716748768472906;291
0;230;0.9716748768472906;290
0;220;0.9716748768472906;288
0;210;0.9692118226600985;285
0;200;0.9692118226600985;283
0;190;0.9692118226600985;283
0;180;0.9679802955665024;282
0;170;0.9679802955665024;281
0;160;0.9679802955665024;281
0;150;0.9667487684729064;277
0;140;0.9655172413793104;275
0;130;0.9655172413793104;274
0;120;0.9655172413793104;271
0;110;0.9655172413793104;267
0;100;0.9655172413793104;263
0;90;0.9618226600985221;257
0;80;0.9605911330049262;250
0;70;0.9568965517241379;240
0;60;0.9495073891625616;232
0;50;0.9384236453201971;219
0;40;0.9322660098522167;207
0;30;0.9236453201970444;193
0;20;0.9076354679802956;166
0;10;0.8866995073891626;136
